scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,300,300,8,0.8,0.869655742,12.63626928,0.217413935
polar,0,150,300,32,0.6,0.84223187,83.18408418,0.105278984
polar,0,150,300,32,0.8,0.926296658,170.8726975,0.115787082
polar,0,150,500,4,0,1.067450007,9.714025557,0.377400569
polar,0,150,500,4,0.2,1.083576768,9.85110963,0.38310224
polar,0,150,500,4,0.4,1.07618564,14.54305538,0.380489082
polar,0,150,500,4,0.6,1.03237116,9.088363815,0.364998324
polar,0,150,500,4,0.8,1.054151926,29.96057266,0.372698988
polar,0,300,300,16,0,0.930418183,32.70829118,0.164476252
polar,0,300,300,16,0.2,0.930523553,32.72439092,0.164494879
polar,0,300,300,16,0.4,0.928544786,32.35363585,0.164145079
polar,0,300,300,16,0.6,0.928831371,32.71734203,0.16419574
polar,0,300,300,16,0.8,0.932386429,32.66854012,0.164824192
polar,0,150,300,64,0,0.972988188,364.5215732,0.086000818
polar,0,150,300,64,0.2,0.984730028,404.6834745,0.08703866
polar,0,150,300,64,0.4,1.006997773,462.4368811,0.089006869
polar,0,150,300,64,0.6,1.09363314,565.2431677,0.096664426
