Scenario,state,missing,agents,observations,inaccuracy
outlier,32,0.2,50,150,0.310891079
outlier,32,0.4,50,150,0.270225677
outlier,4,0.6,150,300,0.076771042
outlier,32,0.6,50,150,0.158029998
outlier,16,0.4,300,150,0.0325338
outlier,8,0.8,300,150,0.121835871
outlier,8,0,300,150,0.014903871
outlier,16,0.6,50,300,0.284447321
outlier,32,0.8,50,150,0.103176687
outlier,32,0,50,150,0.037165755
outlier,8,0.2,50,500,0.276021729
outlier,8,0.6,50,300,0.233751136
outlier,4,0.8,300,150,0.028051759
outlier,16,0.4,50,500,0.245957517
outlier,32,0.2,50,150,0.049302302
outlier,4,0,300,150,0.018090144
outlier,4,0.8,50,500,0.260388608
outlier,4,0.2,50,300,0.261742718
outlier,32,0.4,50,150,0.092399504
outlier,32,0.6,50,150,0.221189862
outlier,32,0.8,50,300,0.290125563
outlier,16,0.6,150,300,0.086192021
outlier,32,0.8,50,150,0.321926909
outlier,32,0,50,300,0.290125563
outlier,16,0.8,50,300,0.272636584
outlier,32,0,150,150,0.015198211
outlier,8,0.8,50,300,0.170416723
outlier,8,0.4,50,500,0.227707227
outlier,32,0.2,50,300,0.281986415
outlier,32,0,150,300,0.012608875
outlier,32,0,50,150,0.321926909
outlier,16,0.6,50,500,0.244777126
